review_id,date,user_name,stars,review,product_id,product,reply_by,reply
29961957,2026-06-15,ترلان حسینی,5,بوی مطلوبی داره😍😍,44509892,مام قارچی داو مدل Original حجم 50 میل اصل,,
29953641,2026-06-15,قاسمپور,5,قیمت عالی ...کیفیت بالا,44162475,استیک ضد تعریق زنانه آمبرلا مدل سافت کلییر Soft clear حجم 75 میلی لیتر تاریخ انقضا 1407,,
29953622,2026-06-15,قاسمپور,5,خیلی سریع رسید .تمیز و‌مرتب و قیمتش از همه جا ارزونتر بود,44183217,استیک ضد تعریق مردانه آمبرلا مدل هیرو من 75 میلی لیتر انقضا 1407,,
29931396,2026-06-14,خانم. رنجبر,5,ممنون خوب بود,44936957,ریمل مکس ولوم حجم دهنده و بلند کننده 12 میل ضد آب اصل,,
29926711,2026-06-14,سپیده,5,خیلی عالیه ولی فقط حواستون باید باشه مرتب زده بشه وگرنه بد میشه,42234310,تینت ابرو پیلاف برچسبی اولیبولا olibolla در چهار شماره,,
29924639,2026-06-14,فاطیما,5,محصولی فوق العاده بود واقعا، توصیه میکنم حتما بخرید ریزش موهام کاملا قطع شد و رشد موهام بیشتر شده🤍,35209094,شامپو Bioxcin مدل Forte ضد ریزش و تقویت ریشه مو (300ml),علی خلیلی,سلام خیلی خوشحالیم از محصول رضایت داشتید 
29897443,2026-06-13,فاطمه خوش اندام,3,خیلی کوچیک بود ولی خوبه,47116337,پک مراقبتی مینی برنج 5 عددی مدل مسافرتی,علی خلیلی,سلام بله پک مینی هست همونطور که در توضیحات نوشته شده و مخصوص مسافرت مدل بزرگ تر همین پک هم موجود داریم که 6 آیتم داخلشه و حجم محصولات بالاتر هستن
29867589,2026-06-12,النا سادات حسینی,5,کاملا راضی بودم، اگر پوست چرب دارید اصلا سنگین نیست و برق نمی‌اندازه‌ پاسخگویی سریع و محترمانه و (همشهری بودیم و همون روز محصول رو دریافت کردم),39897679,ضد آفتاب بیرنگ استلین SPF 50 (50 گرم) – Estelin,علی خلیلی,سلام خیلی خوشحالیم که مارو انتخاب کردید و از سفارشتون هم راضی هستید 
29862397,2026-06-12,مینا فتاحی,5,ممنون از غرفه دار محترم رکسونا ها کاملا اصل بودش روغن هم استفاده کردم راضی بودم موهامو نرم کرد خیلی و چربی روی مو نشون نداد اصلا ارسالم دقیقا بعد سه روز به دستم رسید,35209616,اسپری ضد تعریق زنانه رکسونا Rexona مدل Cotton Dry روسی,علی خلیلی,سلام خیلی ممنونم که نظرتون رو ثبت کردید 
29849025,2026-06-11,م ش,5,ارسال سریع. بسته بندی عالی. غرفه دار محترم کلی وقت گذاشتن و راهنمایی کردن و توضیحاتی ک لازم داشتم رو بهم گفتن. بسیار خوشبرخورد. خدا ب کسب و کارشون برکت بده. خرید از این غرفه رو توصیه میکنم.,35209120,شامپو آرگان لایتنس 900 میل اصل,علی خلیلی,خیلی خوشحالیم که راضی بودید و نظرتون رو هم ثبت کردید 
29848828,2026-06-11,م ش,5,خیلی خوشرنگ و خوش‌بوعه. ارسال هم عالی و سریع بود.,41417424,لیپ گلاس اولیبولا طرح رود در 8 رنگ,علی خلیلی,مبارکتون باشه این لیپ گلاس بسیار با کیفیته و انتخاب عالی ای داشتید
29847781,2026-06-11,لیلا فروغی,5,بسته رو زود ارسال کردن ممنون از غرفه دار,44192758,مام مردانه سورمه ای کلین کامفورت Clean Comfort حجم 75 میل کامان Comeon,,
29847741,2026-06-11,لیلا فروغی,5,ممنون از غرفه دار. محصول سالم و سلامت به دستم رسید و قیمتش هم از مابقی غرفه ها بهتر بود.,44162475,استیک ضد تعریق زنانه آمبرلا مدل سافت کلییر Soft clear حجم 75 میلی لیتر تاریخ انقضا 1407,علی خلیلی,سلام ممنونم که نظرتون رو ثبت کردید 
29838038,2026-06-11,معصومه رضائیان,5,خیلی خوب و ناز بود و کوچولو🤏🩷,43804902,کرم دست مینی 20 گرمی بستنی توت فرنگی سادور Sadoer,علی خلیلی,خیلی کیوتن اینا😍
29792878,2026-06-10,haneiy Rezaei,1,بد نیست ولی خب اونجوری هم که ازش تعریف میکنن نیست واقعا اصن روی مژه خشک نمیشه همش هم میریزه,42233430,ریمل سوزنی Gege Bear بلند کننده و حالت دهنده,,
29746603,2026-06-08,مهدیس ارجمند,5,بسته ام رسید استفاده کردم خیلی عالی بود ممنون از غرفه دار,42240837,کرم پودر استیکی اولیبولا olibolla براش دار اصلی,علی خلیلی,سلام مبارکتون باشه بله این محصول فوق العادست 
29727548,2026-06-08,سحر نیاکان,5,خیلی روون و خوبه من به خط لب استفاده میکنم و ترکیبش با رنگهای روشن خیلی قشنگ میشه. فروشنده هم خیلی سریع ارسال کردن و دو سه روزه بسته ی من رسید پیشنهاد میکنم حتما از محصولات این غرفه خریداری کنید.,46500057,رژلب پیچی آرت اسکین مدل Super Wear Ink Crayon,علی خلیلی,عالیه خوشحالم که راضی بودید از ما و محصول 
29727490,2026-06-08,سحر نیاکان,5,خیلییی بهتر از انتظارم بود و بشدت خوب بود و بلند کنندگیه عالی ای داشت. کلا محصولات این برند خیلی خوب هستن.,42233430,ریمل سوزنی Gege Bear بلند کننده و حالت دهنده,,
29727396,2026-06-08,سحر نیاکان,5,خیلی رژگونه ی خوبیه و پیگمنت بالایی داره من رنگ 6 رو گرفتم که ترکیبش با یه خط لب نود برای رژ لب هم خیلی شیکه و قشنگه,42231636,رژگونه و رژ لب خیس اولیبولا فضایی وزن 3.6 گرم,علی خلیلی,بله این رژگونه واقعا عالیه 
29718213,2026-06-08,دوست باسلامی,5,عالیه,45363078,پودر فیکس سه رنگ گک GAGK | کره ای,,
29718205,2026-06-08,دوست باسلامی,5,عالی,43839048,تونر توت فرنگی 130 میل سادور Sadoer,,
29718200,2026-06-08,دوست باسلامی,5,خوبه,42391921,کرم دور چشم ویتامین سی مدل پرتقالی,,
29689602,2026-06-07,اسما احمدی,5,همچی عالی بود ممنونم واقعا 🌸😊,45130746,اسپری ضد افتاب هایمز SPF 30 حجم 150 میل با عصاره انار مناسب انواع پوست,علی خلیلی,سلام خیلی خوشحالیم که راضی هستید 😊
29689395,2026-06-07,فاطمه عمرانی,5,کیفیت و قیمتش خیلی مناسب و خوب بود,42233430,ریمل سوزنی Gege Bear بلند کننده و حالت دهنده,,
29682436,2026-06-07,پریا پورکمال,5,خیلی عالی بود ممنونم,45914597,پالت کتابی آرایشی 5 صفحه آیگودکو igoodco مدل IG3057,علی خلیلی,سلام مبارکتون باشه این پالت واقعا عالیه حتی از قیمت آمازونم پایینتر در بهداشتیک عرضه شده 😎
29661292,2026-06-06,فاطمه عبداللهی,5,عالی وقیمت مناسب🌸❤️‍🔥,44193983,استیک ضد تعریق زنانه مدل Long Lasting حجم 75 میل کامان Comeon,,
29643090,2026-06-06,محمدی,5,عالی,46213641,پالت کانتور و رژگونه پودری 12 رنگ آرت اسکین Artskin,,
29641794,2026-06-06,شیخی,5,عالی,44186209,ضد تعریق مردانه مدل خنک کننده long lasting حجم 75 میل کامان Comeon,,
29624374,2026-06-05,saba,1,مدل بلنده کننده گرفتم، ولی اصلا تعریفی نداشت،موادش کم و حالت خشکی داشت، خیلی هم بلند نکرده بود.یه چیز کاملا معمولی,41293677,ریمل هدی موجی hudamoji در سه مدل,,
29622897,2026-06-05,زهرا رضایی,5,عالی بودن همون چیزی که میخواستم,41478220,خط لب دراگون نود به صورت تک,علی خلیلی,عالیه مبارکتون باشه هر وقت تمومش کردید ما دوباره در خدمتتون هستیم🙏
29619442,2026-06-05,زهرا سوها,3,زیاد موثر نیست,42228955,وزگیر موی آرگان برند IKT,,
